Blood Group,Gender,Mobile Number,Name,Father_Name,SC Number,Date of Birth,Customer Code,National Id,votersAge,Citizenship Number,Temporary_Address,Mother Name,modified_date,Customer ID,PAN_Number,votersID,License Number,Permanent_Address,soup,SpouseName,source
AB+,Male,1234567890,Ram Thapa,Ram Bahadur Thapa,001.01.01,1990-01-01,21216874,AB123C,45,624-93227-32431/660086,"Gongabu, Kathmandu, Nepal",Laxmi Thapa,2024-05-27 10:38:03.158096,3245,ABCDE1234F,11116874,15-05-58353205,"Baluwatar, Kathmandu, Nepal",ramthapa 1990-01-01 rambahadurthapa,Sita Thapa,"bank, esewa, voter, electricity, license"
AB-,Female,2345678901,Sita Shrestha,Hari Prasad Shrestha,001.01.02,1991-02-02,22359363,DE456F,38,747-42087-31417/584714,"New Road, Pokhara, Nepal",Radha Sharma,2024-05-27 10:38:03.181816,3246,FGHIJ5678K,22259363,21-08-00435579,"Lakeside, Pokhara, Nepal",sitashrestha 1991-02-02 hariprasadshrestha,Ravi Sharma,"bank, esewa, voter, electricity, license"
B-,Male,3456789012,Hari Gurung,Gopal Krishna Gurung,001.01.03,1992-03-03,33485241,GH789I,52,389-45382-93886/821590,"Pulchowk, Lalitpur, Nepal",Gita Adhikari,2024-05-27 10:38:03.197819,3247,LMNOP9012L,33385241,93-12-35351480,"Chitwan National Park, Chitwan, Nepal",harigurung 1992-03-03 gopalkrishnagurung,Maya Adhikari,"bank, esewa, voter, electricity, license"
A-,Female,4567890123,Gita Tamang,Shyam Lal Tamang,001.01.04,1993-04-04,45475489,JK012L,30,571-38785-99733/440035,"Bagbazar, Kathmandu, Nepal",Mina Rai,2024-05-27 10:38:03.214600,3248,QRSTU3456M,44475489,65-03-68139881,"Biratnagar, Morang, Nepal",gitatamang 1993-04-04 shyamlaltamang,Surya Rai,"bank, esewa, voter, electricity, license"
A+,Male,5678901234,Mohan Lama,Krishna Raj Lama,001.01.05,1994-05-05,56562139,MN345O,27,864-17331-40021/961722,"Balkumari, Lalitpur, Nepal",Kalpana Karki,2024-05-27 10:38:03.235343,3249,VWXYZ7890N,55562139,14-11-40056582,"Bharatpur, Chitwan, Nepal",mohanlama 1994-05-05 krishnarajlama,Sarita Karki,"bank, esewa, voter, electricity, license"
B-,Female,6789012345,Radha Magar,Narayan Kumar Magar,001.01.06,1995-06-06,67698214,PQ678R,41,033-51347-62581/380746,"Chabahil, Kathmandu, Nepal",Nima Gurung,2024-05-27 10:38:03.258354,3250,ABCD1234PQ,66698214,82-09-81734599,"Butwal, Rupandehi, Nepal",radhamagar 1995-06-06 narayankumarmagar,Pemba Gurung,"bank, esewa, voter, electricity, license"
,Male,7890123456,Krishna Rai,Govinda Bahadur Rai,001.01.07,1996-07-07,78714635,ST901U,36,,"Kumaripati, Lalitpur, Nepal",Saru Shrestha,2024-05-27 10:38:02.961895,3251,EFGH5678RS,77714635,,"Hetauda, Makwanpur, Nepal",krishnarai 1996-07-07 govindabahadurrai,Laxmi Shrestha,"bank, esewa, voter, electricity"
A-,Female,8901234567,Sarita Sherpa,Shiva Narayan Sherpa,001.01.08,1997-08-08,89847326,VW234X,50,323-37869-95909/623481,"New Baneshwor, Kathmandu, Nepal",Nanu Maharjan,2024-05-27 10:38:03.311364,3252,TUVW9012XY,88847326,98-03-72394228,"Janakpur, Dhanusa, Nepal",saritasherpa 1997-08-08 shivanarayansherpa,Raj Maharjan,"bank, esewa, voter, electricity, license"
B-,Male,9012345678,Bikash Karki,Bhagirath Bahadur Karki,001.01.09,1998-09-09,91953421,YZ567A,43,406-94259-70142/249811,"Boudha, Kathmandu, Nepal",Lhamu Tamang,2024-05-27 10:38:03.331318,3253,ZABC3456DE,99953421,68-01-80388982,"Nepalgunj, Banke, Nepal",bikashkarki 1998-09-09 bhagirathbahadurkarki,Pema Tamang,"bank, esewa, voter, electricity, license"
A-,Female,123456789,Nisha Bhandari,Surya Bahadur Bhandari,001.01.10,1999-10-10,10203847,BC890D,34,272-28301-42325/881177,"Kalanki, Kathmandu, Nepal",Lila KC,2024-05-27 10:38:03.350195,3254,FGHI7890JK,10103847,42-08-02614125,"Dharan, Sunsari, Nepal",nishabhandari 1999-10-10 suryabahadurbhandari,Manish KC,"bank, esewa, voter, electricity, license"
O+,Male,1234567800,Aarav Adhikari,Rajan Bahadur Adhikari,001.01.11,2000-11-11,12113982,EF123G,39,575-80644-44438/883300,"Sanepa, Lalitpur, Nepal",Chandra Khadka,2024-05-27 10:38:03.366817,3255,LMNO1234PL,11113982,15-06-41273848,"Birtamode, Jhapa, Nepal",aaravadhikari 2000-11-11 rajanbahaduradhikari,Nisha Khadka,"bank, esewa, voter, electricity, license"
AB+,Female,2345678902,Sneha Joshi,Ramesh Bahadur Joshi,001.01.12,2001-12-12,13122547,HI456J,48,599-66155-86484/518801,"Putalisadak, Kathmandu, Nepal",Tulasa Magar,2024-05-27 10:38:03.386916,3256,QRST5678UM,12122547,31-01-32329238,"Dhangadhi, Kailali, Nepal",snehajoshi 2001-12-12 rameshbahadurjoshi,Kamal Magar,"bank, esewa, voter, electricity, license"
O-,Male,3456789013,Pratik Shahi,Suresh Kumar Shahi,001.01.13,1989-01-13,13235698,KL789M,31,371-38746-28131/634277,"Tinkune, Kathmandu, Nepal",Ganga Yadav,2024-05-27 10:38:03.409788,3257,VWXY9012NZ,13135698,73-02-11496212,"Itahari, Sunsari, Nepal",pratikshahi 1989-01-13 sureshkumarshahi,Sita Yadav,"bank, esewa, voter, electricity, license"
AB-,Female,4567890124,Anju Bhattarai,Dinesh Raj Bhattarai,001.01.14,1988-02-14,14247652,NO012P,29,506-21915-16175/214975,"Sinamangal, Kathmandu, Nepal",Sunita Bista,2024-05-27 10:38:03.442103,3258,ABCD3456OP,14147652,94-08-09289547,"Bhaktapur, Bhaktapur, Nepal",anjubhattarai 1988-02-14 dineshrajbhattarai,Mina Bista,"bank, esewa, voter, electricity, license"
,Male,5678901235,Manish Maharjan,Bijay Bahadur Maharjan,001.01.15,1987-03-15,15158964,QR345S,44,,"Thamel, Kathmandu, Nepal",Gita Dhakal,2024-05-27 10:38:03.052959,3259,EFGH7890QR,15158963,,"Kirtipur, Kathmandu, Nepal",manishmaharjan 1987-03-15 bijaybahadurmaharjan,Ram Dhakal,"bank, esewa, voter, electricity"
AB-,Female,6789012346,Puja KC,Ramesh Bahadur KC,001.01.16,1986-04-16,16169853,TU678V,53,697-65333-88172/166613,"Jawalakhel, Lalitpur, Nepal",Laxmi Pant,2024-05-27 10:38:03.478806,3260,STUV1234WX,16169852,17-11-63791321,"Lalitpur, Lalitpur, Nepal",pujakc 1986-04-16 rameshbahadurkc,Radha Pant,"bank, esewa, voter, electricity, license"
AB-,Male,7890123457,Anil Khadka,Rajesh Bahadur Khadka,001.01.17,1985-05-17,17375246,WX901Y,37,697-65333-88172/166613,"Maitighar, Kathmandu, Nepal",Sarita Joshi,2024-05-27 10:38:03.502641,3261,YZAB5678CD,17175246,17-11-63791321,"Ghorahi, Dang, Nepal",anilkhadka 1985-05-17 rajeshbahadurkhadka,Amit Joshi,"bank, esewa, voter, electricity, license"
B-,Female,8901234568,Rita Rimal,Ganesh Bahadur Rimal,001.01.18,1984-06-18,18383569,ZA234B,28,542-42953-82512/112038,"Buddhanagar, Kathmandu, Nepal",Meena Bhattarai,2024-05-27 10:38:03.519160,3262,EFGH9012EF,18183569,68-10-56792613,"Tansen, Palpa, Nepal",ritarimal 1984-06-18 ganeshbahadurrimal,Anita Bhattarai,"bank, esewa, voter, electricity, license"
B-,Male,9012345679,Pratiksha Dahal,Santosh Bahadur Dahal,001.01.19,1983-07-19,19294258,CD567E,46,542-42953-82512/112038,"Buddhanagar, Kathmandu, Nepal",Manju Gurung,2024-05-27 10:38:03.535349,3263,IJKL3456GH,19194258,68-10-56792613,"Bidur, Nuwakot, Nepal",pratikshadahal 1983-07-19 santoshbahadurdahal,Sanu Gurung,"bank, esewa, voter, electricity, license"
A-,Female,123456790,Dipesh Pokharel,Shyam Sundar Pokharel,001.01.20,1982-08-20,20305417,FG890H,40,769-44973-94012/456699,"Gaushala, Kathmandu, Nepal",Rita Lama,2024-05-27 10:38:03.568603,3264,MNOP7890IJ,20205417,89-04-95690392,"Damak, Jhapa, Nepal",dipeshpokharel 1982-08-20 shyamsundarpokharel,Hari Lama,"bank, esewa, voter, electricity, license"
AB+,,7890123456,Krishna Rai,,,,,,,068-37653-84341/852787,"Kumaripati, Lalitpur, Nepal",,2024-05-27 10:37:56.970121,,,,26-03-50185868,"Hetauda, Makwanpur, Nepal",krishnarai  ,,license
B+,,5678901235,Manish Maharjan,,,,,,,157-92240-30969/930555,"Thamel, Kathmandu, Nepal",,2024-05-27 10:37:56.970121,,,,98-09-16879291,"Kirtipur, Kathmandu, Nepal",manishmaharjan  ,,license
AB-,,7890123457,Anil Khadka,,,,,,,395-60019-88104/590785,"Maitighar, Kathmandu, Nepal",,2024-05-27 10:37:56.970121,,,,71-03-35575299,"Ghorahi, Dang, Nepal",anilkhadka  ,,license
AB+,,9012345679,Pratiksha Dahal,,,1983-07-19,,,,697-25014-99353/663054,"Naxal, Kathmandu, Nepal",,2024-05-27 10:37:56.970121,,,,28-09-97969690,"Bidur, Nuwakot, Nepal",pratikshadahal 1983-07-19 ,,license
