,Blood Group,Citizenship Number,Customer Code,Customer ID,Date of Birth,Father_Name,Gender,License Number,Mobile Number,Mother Name,Name,National Id,PAN_Number,Permanent_Address,SC Number,SpouseName,Temporary_Address,modified_date,soup1,source,votersAge,votersID
0,AB+,624-93227-32431/660086,21216874,3245,1990-01-01,Ram Bahadur Thapa,Male,15-05-58353205,1234567890,Laxmi Thapa,Ram Thapa,AB123C,ABCDE1234F,"Baluwatar, Kathmandu, Nepal",001.01.01,Sita Thapa,"Gongabu, Kathmandu, Nepal",2024-05-26 03:28:18.746648,ramthapa 1990-01-01 rambahadurthapa,"bank, esewa, voter, electricity, license",45,11116874
1,AB-,747-42087-31417/584714,22359363,3246,1991-02-02,Hari Prasad Shrestha,Female,21-08-00435579,2345678901,Radha Sharma,Sita Shrestha,DE456F,FGHIJ5678K,"Lakeside, Pokhara, Nepal",001.01.02,Ravi Sharma,"New Road, Pokhara, Nepal",2024-05-26 03:28:18.770189,sitashrestha 1991-02-02 hariprasadshrestha,"bank, esewa, voter, electricity, license",38,22259363
2,B-,389-45382-93886/821590,33485241,3247,1992-03-03,Gopal Krishna Gurung,Male,93-12-35351480,3456789012,Gita Adhikari,Hari Gurung,GH789I,LMNOP9012L,"Chitwan National Park, Chitwan, Nepal",001.01.03,Maya Adhikari,"Pulchowk, Lalitpur, Nepal",2024-05-26 03:28:18.790829,harigurung 1992-03-03 gopalkrishnagurung,"bank, esewa, voter, electricity, license",52,33385241
3,A-,571-38785-99733/440035,45475489,3248,1993-04-04,Shyam Lal Tamang,Female,65-03-68139881,4567890123,Mina Rai,Gita Tamang,JK012L,QRSTU3456M,"Biratnagar, Morang, Nepal",001.01.04,Surya Rai,"Bagbazar, Kathmandu, Nepal",2024-05-26 03:28:18.826099,gitatamang 1993-04-04 shyamlaltamang,"bank, esewa, voter, electricity, license",30,44475489
4,A+,864-17331-40021/961722,56562139,3249,1994-05-05,Krishna Raj Lama,Male,14-11-40056582,5678901234,Kalpana Karki,Mohan Lama,MN345O,VWXYZ7890N,"Bharatpur, Chitwan, Nepal",001.01.05,Sarita Karki,"Balkumari, Lalitpur, Nepal",2024-05-26 03:28:18.858753,mohanlama 1994-05-05 krishnarajlama,"bank, esewa, voter, electricity, license",27,55562139
5,B-,033-51347-62581/380746,67698214,3250,1995-06-06,Narayan Kumar Magar,Female,82-09-81734599,6789012345,Nima Gurung,Radha Magar,PQ678R,ABCD1234PQ,"Butwal, Rupandehi, Nepal",001.01.06,Pemba Gurung,"Chabahil, Kathmandu, Nepal",2024-05-26 03:28:18.886434,radhamagar 1995-06-06 narayankumarmagar,"bank, esewa, voter, electricity, license",41,66698214
6,AB+,068-37653-84341/852787,78714635,3251,1996-07-07,Govinda Bahadur Rai,Male,26-03-50185868,7890123456,Saru Shrestha,Krishna Rai,ST901U,EFGH5678RS,"Hetauda, Makwanpur, Nepal",001.01.07,Laxmi Shrestha,"Kumaripati, Lalitpur, Nepal",2024-05-26 03:28:18.912229,krishnarai 1996-07-07 govindabahadurrai,"bank, esewa, voter, electricity, license",36,77714635
7,A-,323-37869-95909/623481,89847326,3252,1997-08-08,Shiva Narayan Sherpa,Female,98-03-72394228,8901234567,Nanu Maharjan,Sarita Sherpa,VW234X,TUVW9012XY,"Janakpur, Dhanusa, Nepal",001.01.08,Raj Maharjan,"New Baneshwor, Kathmandu, Nepal",2024-05-26 03:28:18.937397,saritasherpa 1997-08-08 shivanarayansherpa,"bank, esewa, voter, electricity, license",50,88847326
8,B-,406-94259-70142/249811,91953421,3253,1998-09-09,Bhagirath Bahadur Karki,Male,68-01-80388982,9012345678,Lhamu Tamang,Bikash Karki,YZ567A,ZABC3456DE,"Nepalgunj, Banke, Nepal",001.01.09,Pema Tamang,"Boudha, Kathmandu, Nepal",2024-05-26 03:28:18.973777,bikashkarki 1998-09-09 bhagirathbahadurkarki,"bank, esewa, voter, electricity, license",43,99953421
9,A-,272-28301-42325/881177,10203847,3254,1999-10-10,Surya Bahadur Bhandari,Female,42-08-02614125,123456789,Lila KC,Nisha Bhandari,BC890D,FGHI7890JK,"Dharan, Sunsari, Nepal",001.01.10,Manish KC,"Kalanki, Kathmandu, Nepal",2024-05-26 03:28:18.998761,nishabhandari 1999-10-10 suryabahadurbhandari,"bank, esewa, voter, electricity, license",34,10103847
10,O+,575-80644-44438/883300,12113982,3255,2000-11-11,Rajan Bahadur Adhikari,Male,15-06-41273848,1234567800,Chandra Khadka,Aarav Adhikari,EF123G,LMNO1234PL,"Birtamode, Jhapa, Nepal",001.01.11,Nisha Khadka,"Sanepa, Lalitpur, Nepal",2024-05-26 03:28:19.014868,aaravadhikari 2000-11-11 rajanbahaduradhikari,"bank, esewa, voter, electricity, license",39,11113982
11,AB+,599-66155-86484/518801,13122547,3256,2001-12-12,Ramesh Bahadur Joshi,Female,31-01-32329238,2345678902,Tulasa Magar,Sneha Joshi,HI456J,QRST5678UM,"Dhangadhi, Kailali, Nepal",001.01.12,Kamal Magar,"Putalisadak, Kathmandu, Nepal",2024-05-26 03:28:19.026988,snehajoshi 2001-12-12 rameshbahadurjoshi,"bank, esewa, voter, electricity, license",48,12122547
12,O-,371-38746-28131/634277,13235698,3257,1989-01-13,Suresh Kumar Shahi,Male,73-02-11496212,3456789013,Ganga Yadav,Pratik Shahi,KL789M,VWXY9012NZ,"Itahari, Sunsari, Nepal",001.01.13,Sita Yadav,"Tinkune, Kathmandu, Nepal",2024-05-26 03:28:19.037138,pratikshahi 1989-01-13 sureshkumarshahi,"bank, esewa, voter, electricity, license",31,13135698
13,AB-,506-21915-16175/214975,14247652,3258,1988-02-14,Dinesh Raj Bhattarai,Female,94-08-09289547,4567890124,Sunita Bista,Anju Bhattarai,NO012P,ABCD3456OP,"Bhaktapur, Bhaktapur, Nepal",001.01.14,Mina Bista,"Sinamangal, Kathmandu, Nepal",2024-05-26 03:28:19.047526,anjubhattarai 1988-02-14 dineshrajbhattarai,"bank, esewa, voter, electricity, license",29,14147652
14,B+,157-92240-30969/930555,15158964,3259,1987-03-15,Bijay Bahadur Maharjan,Male,98-09-16879291,5678901235,Gita Dhakal,Manish Maharjan,QR345S,EFGH7890QR,"Kirtipur, Kathmandu, Nepal",001.01.15,Ram Dhakal,"Thamel, Kathmandu, Nepal",2024-05-26 03:28:19.059310,manishmaharjan 1987-03-15 bijaybahadurmaharjan,"bank, esewa, voter, electricity, license",44,15158963
15,AB-,697-65333-88172/166613,16169853,3260,1986-04-16,Ramesh Bahadur KC,Female,17-11-63791321,6789012346,Laxmi Pant,Puja KC,TU678V,STUV1234WX,"Lalitpur, Lalitpur, Nepal",001.01.16,Radha Pant,"Jawalakhel, Lalitpur, Nepal",2024-05-26 03:28:19.068774,pujakc 1986-04-16 rameshbahadurkc,"bank, esewa, voter, electricity, license",53,16169852
16,AB-,395-60019-88104/590785,17375246,3261,1985-05-17,Rajesh Bahadur Khadka,Male,71-03-35575299,7890123457,Sarita Joshi,Anil Khadka,WX901Y,YZAB5678CD,"Ghorahi, Dang, Nepal",001.01.17,Amit Joshi,"Maitighar, Kathmandu, Nepal",2024-05-26 03:28:19.082965,anilkhadka 1985-05-17 rajeshbahadurkhadka,"bank, esewa, voter, electricity, license",37,17175246
17,B-,542-42953-82512/112038,18383569,3262,1984-06-18,Ganesh Bahadur Rimal,Female,68-10-56792613,8901234568,Meena Bhattarai,Rita Rimal,ZA234B,EFGH9012EF,"Tansen, Palpa, Nepal",001.01.18,Anita Bhattarai,"Buddhanagar, Kathmandu, Nepal",2024-05-26 03:28:19.100025,ritarimal 1984-06-18 ganeshbahadurrimal,"bank, esewa, voter, electricity, license",28,18183569
18,AB+,697-25014-99353/663054,19294258,3263,1983-07-19,Santosh Bahadur Dahal,Male,28-09-97969690,9012345679,Manju Gurung,Pratiksha Dahal,CD567E,IJKL3456GH,"Bidur, Nuwakot, Nepal",001.01.19,Sanu Gurung,"Naxal, Kathmandu, Nepal",2024-05-26 03:28:19.124862,pratikshadahal 1983-07-19 santoshbahadurdahal,"bank, esewa, voter, electricity, license",46,19194258
19,A-,769-44973-94012/456699,20305417,3264,1982-08-20,Shyam Sundar Pokharel,Female,89-04-95690392,123456790,Rita Lama,Dipesh Pokharel,FG890H,MNOP7890IJ,"Damak, Jhapa, Nepal",001.01.20,Hari Lama,"Gaushala, Kathmandu, Nepal",2024-05-26 03:28:19.140298,dipeshpokharel 1982-08-20 shyamsundarpokharel,"bank, esewa, voter, electricity, license",40,20205417
